_id,_full_text,ID_UEV,CIVIQUE_DEBUT,CIVIQUE_FIN,NOM_RUE,SUITE_DEBUT,MUNICIPALITE,ETAGE_HORS_SOL,NOMBRE_LOGEMENT,ANNEE_CONSTRUCTION,CODE_UTILISATION,LETTRE_DEBUT,LETTRE_FIN,LIBELLE_UTILISATION,CATEGORIE_UEF,MATRICULE83,SUPERFICIE_TERRAIN,SUPERFICIE_BATIMENT,NO_ARROND_ILE_CUM
23365,"-000':22 '-0000':23 '-3739':20 '-4':21 '-62':19 '0041':18 '01091535':1 '1000':15 '1037':24 '1914':14 '2596':25 '27':13 '3':12 '435':2,3 '50':11 'champ':7 'champ-de-mar':6 'de':8 'du':5 'logement':16 'mar':9 'mtl':10 'rem19':26 'rue':4 'régulier':17",1091535,435,435,rue du Champ-de-Mars  ,,50,3,27,1914,1000,,,Logement,Régulier,0041-62-3739-4-000-0000,1037,2596,Arrondissement de Ville-Marie (Montréal)
23479,"-000':22 '-0000':23 '-06':19 '-5197':20 '-6':21 '03075048':1 '1000':15 '1013':24 '1938':14 '25':13 '2503':25 '4':12 '4810':2,3 '50':11 '9538':18 'chemin':4 'csl':8 'hms':9 'logement':16 'mari':7 'mtl':10 'queen':6 'queen-mari':5 'rem34':26 'régulier':17",3075048,4810,4810,chemin Queen-Mary  ,,50,4,25,1938,1000,,,Logement,Régulier,9538-06-5197-6-000-0000,1013,2503,Arrondissement de Côte-des-Neiges - Notre-Dame-de-Grâce (Montréal)
23567,"-000':18 '-0000':19 '-1338':16 '-19':15 '-7':17 '01029316':1 '1000':11 '1313':21 '1974':10 '25':9 '3':8 '50':7 '5295':2,3 '655':20 '9843':14 'garnier':5 'logement':12 'mtl':6 'rem21':22 'rue':4 'régulier':13",1029316,5295,5295,rue Garnier  ,,50,3,25,1974,1000,,,Logement,Régulier,9843-19-1338-7-000-0000,655,1313,Arrondissement du Plateau-Mont-Royal (Montréal)
23613,"-000':21 '-0000':22 '-5':20 '-5108':19 '-93':18 '01033935':1 '1000':14 '1375':2,3 '1955':13 '3':11 '31':12 '3192':24 '3351':23 '50':10 '9843':17 'ann':7 'est':8 'logement':15 'mari':6 'marie-ann':5 'mtl':9 'rem21':25 'rue':4 'régulier':16",1033935,1375,1375,rue Marie-Anne Est  ,,50,3,31,1955,1000,,,Logement,Régulier,9843-93-5108-5-000-0000,3351,3192,Arrondissement du Plateau-Mont-Royal (Montréal)
23734,"-000':19 '-0000':20 '-4':18 '-4381':17 '-62':16 '01026786':1 '1000':12 '1243':22 '1964':11 '23':10 '374':21 '4':9 '4530':2,3 '50':8 '9843':15 'brébeuf':6 'de':5 'logement':13 'mtl':7 'rem21':23 'rue':4 'régulier':14",1026786,4530,4530,rue De Brébeuf  ,,50,4,23,1964,1000,,,Logement,Régulier,9843-62-4381-4-000-0000,374,1243,Arrondissement du Plateau-Mont-Royal (Montréal)
23735,"-0':18 '-000':19 '-0000':20 '-3289':17 '-62':16 '01026788':1 '1000':12 '1966':11 '25':10 '279':21 '4':9 '4540':2,3 '50':8 '873':22 '9843':15 'brébeuf':6 'de':5 'logement':13 'mtl':7 'rem21':23 'rue':4 'régulier':14",1026788,4540,4540,rue De Brébeuf  ,,50,4,25,1966,1000,,,Logement,Régulier,9843-62-3289-0-000-0000,279,873,Arrondissement du Plateau-Mont-Royal (Montréal)
23736,"-000':19 '-0000':20 '-2295':17 '-62':16 '-8':18 '01026790':1 '1000':12 '1966':11 '25':10 '279':21 '4':9 '4550':2,3 '50':8 '873':22 '9843':15 'brébeuf':6 'de':5 'logement':13 'mtl':7 'rem21':23 'rue':4 'régulier':14",1026790,4550,4550,rue De Brébeuf  ,,50,4,25,1966,1000,,,Logement,Régulier,9843-62-2295-8-000-0000,279,873,Arrondissement du Plateau-Mont-Royal (Montréal)
23783,"-000':19 '-0000':20 '-11':16 '-6':18 '-7668':17 '01033729':1 '1000':12 '1084':22 '1385':2,3 '1960':11 '3':9 '39':10 '50':8 '511':21 '9943':15 'est':6 'logement':13 'mtl':7 'rachel':5 'rem21':23 'rue':4 'régulier':14",1033729,1385,1385,rue Rachel Est  ,,50,3,39,1960,1000,,,Logement,Régulier,9943-11-7668-6-000-0000,511,1084,Arrondissement du Plateau-Mont-Royal (Montréal)
24467,-000':18 '-0000':19 '-39':15 '-8':17 '-8573':16 '01101953':1 '1000':11 '1836':21 '1939':20 '1989':10 '23':9 '3':8 '50':7 '600':2 '620':3 '9938':14 'guy':5 'logement':12 'mtl':6 'rem20':22 'rue':4 'régulier':13,1101953,600,620,rue Guy  ,,50,3,23,1989,1000,,,Logement,Régulier,9938-39-8573-8-000-0000,1939,1836,Arrondissement du Sud-Ouest (Montréal)
24468,"-000':18 '-0000':19 '-1':17 '-1555':16 '-49':15 '01101954':1 '1000':11 '1732':21 '1988':10 '2295':20 '23':9 '3':8 '50':7 '580':2,3 '9938':14 'guy':5 'logement':12 'mtl':6 'rem20':22 'rue':4 'régulier':13",1101954,580,580,rue Guy  ,,50,3,23,1988,1000,,,Logement,Régulier,9938-49-1555-1-000-0000,2295,1732,Arrondissement du Sud-Ouest (Montréal)
24841,"-000':20 '-0000':21 '-75':17 '-7516':18 '-8':19 '03014897':1 '1000':13 '1050':22 '1402':23 '1969':12 '27':11 '3':10 '50':9 '8330':2,3 '9445':16 'avenu':4 'christoph':6 'christophe-colomb':5 'colomb':7 'logement':14 'mtl':8 'rem25':24 'régulier':15",3014897,8330,8330,avenue Christophe-Colomb  ,,50,3,27,1969,1000,,,Logement,Régulier,9445-75-7516-8-000-0000,1050,1402,Arrondissement de Villeray - Saint-Michel - Parc-Extension (Montréal)
24961,"-000':20 '-0000':21 '-1':19 '-4502':18 '-75':17 '03106421':1 '1000':13 '1099':22 '1402':23 '1969':12 '24':11 '3':10 '50':9 '8350':2,3 '9445':16 'avenu':4 'christoph':6 'christophe-colomb':5 'colomb':7 'logement':14 'mtl':8 'rem25':24 'régulier':15",3106421,8350,8350,avenue Christophe-Colomb  ,,50,3,24,1969,1000,,,Logement,Régulier,9445-75-4502-1-000-0000,1099,1402,Arrondissement de Villeray - Saint-Michel - Parc-Extension (Montréal)
